"Date :",05/27/21 17:45:44
"Motion Threshold (au):",15
"Detection Method:","Linear"
"Min Freeze Duration (f):",10



Component Details
"Component Name","Start Time","Duration (s)","Start Frame","Duration Frames"
"Day2_Acclimation"," 0:00:00.000",180,0,5400
"Day2_CSTone"," 0:03:00.000",360,5400,10800
"Day2_Exploration"," 0:06:00.000",450,10800,13500

"Experiment","Trial","Box","Animal","Group","Component Name","Freeze Cnt","Time Freezing","Pct Total Time Freezing","Pct Component Time Freezing","Avg Motion Index","Min Motion Index","Max Motion Index"
"VF050521_123603","8_day2",Chamber1,"","","Day2_Exploration",12,89.000,19.78,19.78,0.64,0,30

"VF050521_123603","8_day2",Chamber 2,"","","Day2_Acclimation",23,166.433,36.99,92.46,1.69,0,101
"VF050521_123603","8_day2",Chamber 2,"","","Day2_CSTone",16,267.733,59.50,74.37,0.31,0,54
"VF050521_123603","8_day2",Chamber 2,"","","Day2_Exploration",8,89.433,19.87,19.87,0.39,0,20

"VF050521_124543","9_day2",Chamber1,"","","Day2_Acclimation",5,179.667,39.93,99.81,0.12,0,45
"VF050521_124543","9_day2",Chamber1,"","","Day2_CSTone",3,269.867,59.97,74.96,0.05,0,20
"VF050521_124543","9_day2",Chamber1,"","","Day2_Exploration",1,90.000,20.00,20.00,0.01,0,5

"VF050521_124543","9_day2",Chamber 2,"","","Day2_Acclimation",3,179.933,39.99,99.96,0.11,0,28
"VF050521_124543","9_day2",Chamber 2,"","","Day2_CSTone",6,269.800,59.96,74.94,0.11,0,31
"VF050521_124543","9_day2",Chamber 2,"","","Day2_Exploration",1,90.000,20.00,20.00,0.08,0,12

"VF050521_132100","10_day2",Chamber1,"","","Day2_Acclimation",37,174.367,38.75,96.87,1.08,0,103
"VF050521_132100","10_day2",Chamber1,"","","Day2_CSTone",16,269.100,59.80,74.75,0.20,0,51
"VF050521_132100","10_day2",Chamber1,"","","Day2_Exploration",13,89.333,19.85,19.85,0.46,0,51

"VF050521_132100","10_day2",Chamber 2,"","","Day2_Acclimation",10,179.567,39.90,99.76,0.24,0,36
"VF050521_132100","10_day2",Chamber 2,"","","Day2_CSTone",8,269.067,59.79,74.74,0.20,0,38
"VF050521_132100","10_day2",Chamber 2,"","","Day2_Exploration",5,89.267,19.84,19.84,0.37,0,25

"VF050521_132949","11_day2",Chamber1,"","","Day2_Acclimation",13,179.300,39.84,99.61,0.21,0,43
"VF050521_132949","11_day2",Chamber1,"","","Day2_CSTone",11,268.967,59.77,74.71,0.21,0,61
"VF050521_132949","11_day2",Chamber1,"","","Day2_Exploration",3,89.600,19.91,19.91,0.10,0,18

"VF050521_132949","11_day2",Chamber 2,"","","Day2_Acclimation",2,179.967,39.99,99.98,0.09,0,18
"VF050521_132949","11_day2",Chamber 2,"","","Day2_CSTone",1,270.000,60.00,75.00,0.02,0,9
"VF050521_132949","11_day2",Chamber 2,"","","Day2_Exploration",1,90.000,20.00,20.00,0.06,0,9

"VF050521_134121","13_day2",Chamber1,"","","Day2_Acclimation",49,172.200,38.27,95.67,1.49,0,178
"VF050521_134121","13_day2",Chamber1,"","","Day2_CSTone",12,268.867,59.75,74.69,0.23,0,93
"VF050521_134121","13_day2",Chamber1,"","","Day2_Exploration",7,89.267,19.84,19.84,0.51,0,93

"VF050521_134121","13_day2",Chamber 2,"","","Day2_Acclimation",15,178.867,39.75,99.37,0.31,0,25
"VF050521_134121","13_day2",Chamber 2,"","","Day2_CSTone",9,269.533,59.90,74.87,0.22,0,29
"VF050521_134121","13_day2",Chamber 2,"","","Day2_Exploration",5,89.667,19.93,19.93,0.36,0,29

"VF050521_135114","14_day2",Chamber1,"","","Day2_Acclimation",20,174.667,38.81,97.04,0.84,0,207
"VF050521_135114","14_day2",Chamber1,"","","Day2_CSTone",5,268.400,59.64,74.56,0.13,0,60
"VF050521_135114","14_day2",Chamber1,"","","Day2_Exploration",3,89.933,19.99,19.99,0.13,0,17

